Unidade da Federação,População
Acre,881935
Alagoas,3337357
Amapá,845731
Amazonas,4207714
Bahia,14930634
Ceará,9187103
Distrito Federal,3055149
Espírito Santo,4064052
Goiás,7113540
Maranhão,7114598
Mato Grosso,3526220
Mato Grosso do Sul,2815940
Minas Gerais,21292666
Pará,11433957
Paraíba,4039277
Paraná,11516840
Pernambuco,9616621
Piauí,3281480
Rio de Janeiro,17366189
Rio Grande do Norte,3534165
Rio Grande do Sul,11422973
Rondônia,1796460
Roraima,652713
Santa Catarina,7252502
São Paulo,45919049
Sergipe,2318822
Tocantins,1590248
