pais,qtd_litros,vlr_usd,ano
Afeganistão,11,46,2021
África do Sul,,,2021
"Alemanha, República Democrática",2698,6741,2021
Angola,,,2021
Anguilla,,,2021
Antígua e Barbuda,805,2268,2021
Antilhas Holandesas,,,2021
Arábia Saudita,,,2021
Argentina,6,13,2021
Aruba,,,2021
Austrália,705,4034,2021
Áustria,,,2021
Bahamas,1083,4567,2021
Bangladesh,2,20,2021
Barbados,216,844,2021
Barein,302,894,2021
Bélgica,483,3749,2021
Belice,,,2021
Benin,,,2021
Bermudas,,,2021
Bolívia,5850,8360,2021
Bósnia-Herzegovina,,,2021
Brasil,31,46,2021
Bulgária,,,2021
Cabo Verde,16,124,2021
Camarões,,,2021
Canadá,1172,6157,2021
Catar,1,2,2021
"Cayman, Ilhas",104,356,2021
Chile,26,6,2021
China,61884,264116,2021
Chipre,1855,4530,2021
Cingapura,,,2021
"Cocos (Keeling), Ilhas",,,2021
Colômbia,12160,21867,2021
Comores,,,2021
Congo,,,2021
"Coreia, Republica Sul",67,100,2021
Costa do Marfim,,,2021
Costa Rica,,,2021
Croácia,,,2021
Cuba,,,2021
Curaçao,32263,58993,2021
Dinamarca,87,504,2021
Dominica,460,634,2021
El Salvador,,,2021
Emirados Arabes Unidos,810,10522,2021
Equador,,,2021
"Eslovaca, Republica",,,2021
Espanha,,,2021
Estados Unidos,111085,203554,2021
Estônia,,,2021
Filipinas,2784,10368,2021
Finlândia,,,2021
França,7052,23742,2021
Gana,12578,19196,2021
Gibraltar,,,2021
Granada,,,2021
Grécia,908,3014,2021
Guatemala,17347,29100,2021
Guiana,2372,6525,2021
Guiana Francesa,90,32,2021
Guine Bissau,,,2021
Guine Equatorial,,,2021
Haiti,670379,831181,2021
Honduras,,,2021
Hong Kong,12507,39390,2021
Hungria,87,583,2021
Ilha de Man,97,445,2021
Ilhas Virgens,,,2021
India,13,86,2021
Indonésia,,,2021
Irã,116,287,2021
Iraque,,,2021
Irlanda,36,208,2021
Itália,696,3715,2021
Jamaica,,,2021
Japão,39491,90275,2021
Jordânia,,,2021
Letônia,,,2021
Líbano,,,2021
Libéria,7554,23060,2021
Luxemburgo,,,2021
Macau,,,2021
Malásia,,,2021
Malavi,,,2021
Malta,3441,15454,2021
"Marshall, Ilhas",8644,22561,2021
Martinica,,,2021
Mauritânia,9,85,2021
México,9,2,2021
Moçambique,,,2021
Montenegro,14,65,2021
Namíbia,,,2021
Nicarágua,,,2021
Nigéria,68247,113172,2021
Noruega,1878,8320,2021
Nova Caledônia,7227,11924,2021
Nova Zelândia,657,10477,2021
Omã,,,2021
Países Baixos,3791,8484,2021
Palau,,,2021
Panamá,29520,48444,2021
Paraguai,6522527,7192362,2021
Peru,9720,17107,2021
Pitcairn,,,2021
Polônia,4,14,2021
Porto Rico,,,2021
Portugal,6358,42633,2021
Quênia,,,2021
Reino Unido,25316,122394,2021
República Dominicana,,,2021
Rússia,181931,312926,2021
São Cristóvão e Névis,,,2021
São Tomé e Príncipe,,,2021
São Vicente e Granadinas,8,48,2021
Senegal,,,2021
Serra Leoa,6525,12955,2021
Singapura,4504,14346,2021
Suazilândia,10,24,2021
Suécia,23,74,2021
Suíça,627,6999,2021
Suriname,900,1472,2021
Tailândia,1334,2529,2021
Taiwan (Formosa),1313,8153,2021
Tanzânia,,,2021
"Tcheca, República",456,5988,2021
Togo,1890,2012,2021
Toquelau,,,2021
Trinidade Tobago,,,2021
Tunísia,,,2021
Turquia,343,878,2021
Tuvalu,,,2021
Uruguai,136774,149842,2021
Vanuatu,,,2021
Venezuela,26415,35944,2021
Vietnã,,,2021
