pais_iso_2,pais_iso_3,pais,ano,pib_usd,pib_per_capita,consumo_litros_alcool_per_capita,qtd_litros,vlr_usd,usd_por_litro,origem_iso_2,origem_iso_3,origem,conv_brl_usd,precipitacao,temperatura
BE,BEL,Bélgica,2009,481420882905.001,44760.2912443709,11.3319,125962.0,58764.0,0.46652164938632285,BR,BRA,Brasil,2.0,0.1803430133557495,23.316154484377552
BE,BEL,Bélgica,2010,523330354138.133,44184.946353964,11.3319,42532.0,185411.0,4.35932944606414,BR,BRA,Brasil,1.76,0.1428038275212108,23.39298666338983
BE,BEL,Bélgica,2011,496152879924.727,47410.5669277464,11.312759999999999,11802.0,62339.0,5.282070835451618,BR,BRA,Brasil,1.67,0.1697886231763661,22.924367520745538
BE,BEL,Bélgica,2012,521791015247.06,44670.5606845101,11.293619999999999,16132.0,90718.0,5.623481279444582,BR,BRA,Brasil,1.95,0.1371895723796386,23.510009112818775
BE,BEL,Bélgica,2013,535390200131.018,46757.9518559598,11.27448,22461.0,95893.0,4.269311250612172,BR,BRA,Brasil,2.16,0.165725437976739,23.295027346746192
BE,BEL,Bélgica,2014,462335574841.484,47764.0715120833,11.25534,151320.0,704093.0,4.653006872852234,BR,BRA,Brasil,2.35,0.151405453525021,23.52453276182023
BE,BEL,Bélgica,2015,476062757356.927,41008.296719472,11.2362,4473.0,26399.0,5.901855577911916,BR,BRA,Brasil,3.33,0.1466324355918249,23.979472849191424
BE,BEL,Bélgica,2016,502764720556.354,42012.6227191016,10.9973725,7200.0,46534.0,6.463055555555556,BR,BRA,Brasil,3.48,0.1453200061039116,23.677504321154952
BE,BEL,Bélgica,2017,543299066998.902,44198.4823908691,10.758545,2790.0,16405.0,5.879928315412187,BR,BRA,Brasil,3.19,0.1582927679050427,23.60139093195135
BE,BEL,Bélgica,2018,535865804349.803,47544.9811472757,10.519717499999999,7497.0,52799.0,7.042683740162731,BR,BRA,Brasil,3.65,0.1574307706918146,23.3698031892062
BE,BEL,Bélgica,2019,526264230147.394,46641.7214017087,10.28089,2498.0,12548.0,5.023218574859888,BR,BRA,Brasil,3.94,0.1525001917221157,23.847452041182073
BE,BEL,Bélgica,2020,600748812601.541,45609.0034936111,10.28089,3166.0,20460.0,6.462413139608339,BR,BRA,Brasil,5.16,0.1613754647147427,23.269485150790576
BE,BEL,Bélgica,2021,583435595579.963,51850.3971840229,10.28089,483.0,3749.0,7.761904761904762,BR,BRA,Brasil,5.4,0.1585523589669604,22.725896662868795
BE,BEL,Bélgica,2022,583435595579.963,49926.8254295305,10.28089,828.0,6145.0,7.421497584541063,BR,BRA,Brasil,5.17,0.1633503253225839,22.752738512082303
BE,BEL,Bélgica,2023,583435595579.963,49926.8254295305,10.28089,95.0,683.0,7.189473684210526,BR,BRA,Brasil,5.0,0.1555317803332936,23.309671488132057
CA,CAN,Canadá,2009,1374625142157.29,40876.3101540295,10.21275,15664.0,73445.0,4.688776813074566,BR,BRA,Brasil,2.0,0.1803430133557495,23.316154484377552
CA,CAN,Canadá,2010,1617343367486.26,47562.0834253057,10.21275,0.0,0.0,0.0,BR,BRA,Brasil,1.76,0.1428038275212108,23.39298666338983
CA,CAN,Canadá,2011,1793326630174.52,52223.696112356,10.153573999999999,28906.0,128076.0,4.430775617518854,BR,BRA,Brasil,1.67,0.1697886231763661,22.924367520745538
CA,CAN,Canadá,2012,1828366481521.6,52669.0899632316,10.094398,14304.0,146035.0,10.209381991051455,BR,BRA,Brasil,1.95,0.1371895723796386,23.510009112818775
CA,CAN,Canadá,2013,1846597421834.98,52635.1749580433,10.035222,25329.0,174643.0,6.894982036400964,BR,BRA,Brasil,2.16,0.165725437976739,23.295027346746192
CA,CAN,Canadá,2014,1805749878439.94,50955.9983232404,9.976046,35082.0,226875.0,6.466991619634,BR,BRA,Brasil,2.35,0.151405453525021,23.52453276182023
CA,CAN,Canadá,2015,1556508816217.14,43596.1355365546,9.91687,24547.0,118394.0,4.823155579093168,BR,BRA,Brasil,3.33,0.1466324355918249,23.979472849191424
CA,CAN,Canadá,2016,1527994741907.43,42315.6037056806,9.91177,13711.0,71096.0,5.185325650937203,BR,BRA,Brasil,3.48,0.1453200061039116,23.677504321154952
CA,CAN,Canadá,2017,1649265644244.09,45129.4292980922,9.90667,6075.0,30658.0,5.046584362139917,BR,BRA,Brasil,3.19,0.1582927679050427,23.60139093195135
CA,CAN,Canadá,2018,1725329192783.02,46548.6384108296,9.90157,5308.0,20414.0,3.8458929917106253,BR,BRA,Brasil,3.65,0.1574307706918146,23.3698031892062
CA,CAN,Canadá,2019,1743725183672.52,46374.1527517191,9.89647,1589.0,6933.0,4.3631214600377595,BR,BRA,Brasil,3.94,0.1525001917221157,23.847452041182073
CA,CAN,Canadá,2020,1655684730000.19,43562.4358311849,9.89647,1672.0,8431.0,5.042464114832536,BR,BRA,Brasil,5.16,0.1613754647147427,23.269485150790576
CA,CAN,Canadá,2021,2007472181464.15,52515.1998350503,9.89647,1172.0,6157.0,5.253412969283277,BR,BRA,Brasil,5.4,0.1585523589669604,22.725896662868795
CA,CAN,Canadá,2022,2161483369422.01,55522.445687688,9.89647,1183.0,5784.0,4.889264581572274,BR,BRA,Brasil,5.17,0.1633503253225839,22.752738512082303
CA,CAN,Canadá,2023,2161483369422.01,55522.445687688,9.89647,11539.0,42179.0,3.655342750671635,BR,BRA,Brasil,5.0,0.1555317803332936,23.309671488132057
