origem,pais,ano,qtd_litros,vlr_usd
Brasil,Bélgica,2009,125962.0,58764.0
Brasil,Bélgica,2010,42532.0,185411.0
Brasil,Bélgica,2011,11802.0,62339.0
Brasil,Bélgica,2012,16132.0,90718.0
Brasil,Bélgica,2013,22461.0,95893.0
Brasil,Bélgica,2014,151320.0,704093.0
Brasil,Bélgica,2015,4473.0,26399.0
Brasil,Bélgica,2016,7200.0,46534.0
Brasil,Bélgica,2017,2790.0,16405.0
Brasil,Bélgica,2018,7497.0,52799.0
Brasil,Bélgica,2019,2498.0,12548.0
Brasil,Bélgica,2020,3166.0,20460.0
Brasil,Bélgica,2021,483.0,3749.0
Brasil,Bélgica,2022,828.0,6145.0
Brasil,Bélgica,2023,95.0,683.0
Brasil,Canadá,2009,15664.0,73445.0
Brasil,Canadá,2010,0.0,0.0
Brasil,Canadá,2011,28906.0,128076.0
Brasil,Canadá,2012,14304.0,146035.0
Brasil,Canadá,2013,25329.0,174643.0
Brasil,Canadá,2014,35082.0,226875.0
Brasil,Canadá,2015,24547.0,118394.0
Brasil,Canadá,2016,13711.0,71096.0
Brasil,Canadá,2017,6075.0,30658.0
Brasil,Canadá,2018,5308.0,20414.0
Brasil,Canadá,2019,1589.0,6933.0
Brasil,Canadá,2020,1672.0,8431.0
Brasil,Canadá,2021,1172.0,6157.0
Brasil,Canadá,2022,1183.0,5784.0
Brasil,Canadá,2023,11539.0,42179.0
Brasil,China,2009,1553416.0,482400.0
Brasil,China,2010,795.0,2358.0
Brasil,China,2011,54156.0,334867.0
Brasil,China,2012,87905.0,642177.0
Brasil,China,2013,40929.0,279956.0
Brasil,China,2014,64040.0,455340.0
Brasil,China,2015,47609.0,222866.0
Brasil,China,2016,134106.0,499622.0
Brasil,China,2017,67594.0,266086.0
Brasil,China,2018,30835.0,126336.0
Brasil,China,2019,129852.0,376828.0
Brasil,China,2020,122253.0,363000.0
Brasil,China,2021,61884.0,264116.0
Brasil,China,2022,105395.0,404647.0
Brasil,China,2023,73917.0,183096.0
Brasil,"Alemanha, República Democrática",2009,225086.0,393482.0
Brasil,"Alemanha, República Democrática",2010,27715.0,138666.0
Brasil,"Alemanha, República Democrática",2011,36070.0,144150.0
Brasil,"Alemanha, República Democrática",2012,8189.0,56342.0
Brasil,"Alemanha, República Democrática",2013,61699.0,265978.0
Brasil,"Alemanha, República Democrática",2014,213348.0,761653.0
Brasil,"Alemanha, República Democrática",2015,10680.0,44780.0
Brasil,"Alemanha, República Democrática",2016,14012.0,68109.0
Brasil,"Alemanha, República Democrática",2017,15467.0,87702.0
Brasil,"Alemanha, República Democrática",2018,10794.0,45382.0
Brasil,"Alemanha, República Democrática",2019,3660.0,25467.0
Brasil,"Alemanha, República Democrática",2020,6261.0,32605.0
Brasil,"Alemanha, República Democrática",2021,2698.0,6741.0
Brasil,"Alemanha, República Democrática",2022,7630.0,45367.0
Brasil,"Alemanha, República Democrática",2023,4806.0,31853.0
Brasil,Espanha,2009,2181.0,4050.0
Brasil,Espanha,2010,0.0,0.0
Brasil,Espanha,2011,5206.0,24618.0
Brasil,Espanha,2012,0.0,0.0
Brasil,Espanha,2013,1972980.0,3748940.0
Brasil,Espanha,2014,0.0,0.0
Brasil,Espanha,2015,0.0,0.0
Brasil,Espanha,2016,0.0,0.0
Brasil,Espanha,2017,0.0,0.0
Brasil,Espanha,2018,6123.0,22631.0
Brasil,Espanha,2019,3540.0,1353.0
Brasil,Espanha,2020,28.0,126.0
Brasil,Espanha,2021,0.0,0.0
Brasil,Espanha,2022,0.0,0.0
Brasil,Espanha,2023,180.0,4171.0
Brasil,Reino Unido,2009,30092.0,68788.0
Brasil,Reino Unido,2010,123624.0,295690.0
Brasil,Reino Unido,2011,122629.0,285642.0
Brasil,Reino Unido,2012,82937.0,334856.0
Brasil,Reino Unido,2013,59161.0,305005.0
Brasil,Reino Unido,2014,305807.0,1373747.0
Brasil,Reino Unido,2015,68382.0,308407.0
Brasil,Reino Unido,2016,117044.0,536681.0
Brasil,Reino Unido,2017,60711.0,242883.0
Brasil,Reino Unido,2018,67708.0,296827.0
Brasil,Reino Unido,2019,34295.0,164592.0
Brasil,Reino Unido,2020,22913.0,82722.0
Brasil,Reino Unido,2021,25316.0,122394.0
Brasil,Reino Unido,2022,18835.0,138154.0
Brasil,Reino Unido,2023,11326.0,84547.0
Brasil,Haiti,2009,4500.0,5863.0
Brasil,Haiti,2010,2700.0,3750.0
Brasil,Haiti,2011,0.0,0.0
Brasil,Haiti,2012,0.0,0.0
Brasil,Haiti,2013,0.0,0.0
Brasil,Haiti,2014,0.0,0.0
Brasil,Haiti,2015,0.0,0.0
Brasil,Haiti,2016,0.0,0.0
Brasil,Haiti,2017,0.0,0.0
Brasil,Haiti,2018,79500.0,144425.0
Brasil,Haiti,2019,81873.0,129803.0
Brasil,Haiti,2020,399128.0,471152.0
Brasil,Haiti,2021,670379.0,831181.0
Brasil,Haiti,2022,553503.0,741014.0
Brasil,Haiti,2023,559645.0,871661.0
